old                                      new
05febfca5558b03c8c181da6b313e12b47fc14b7 f1449fa8e17443877517267c6071eabb5b5a31dd
0f0bc299dfac7a63765f85d24f6e245be083edd7 91fd6a79979c57f11c7200e559c27d8af91a0478
17361baaa02a1e7ee19e5a3b3aae4b72ece2158e 5b89e33c58e5b7de48f14c78089d6a8e223233d0
18f0c02c91fda04e3164fde1b64491d104077153 4a7c5b9d0b1b081dd9e48a564edd7d205a91fc0c
454629a1c3424f8174b09e8478b41be2ccfc068a e405ba0228eb4eaf94a561037164417754fe93d0
46a43a9ec50f4cde573879d662bd7a7e0212cde3 7d9a2ecd6d9ed34c8c98f71adf820ee10fe2ca15
4a4cc9fd6d191aef3337f482a44010a664d8abbc 08e6f7ddb9a70db038a27fcdfa9c2f93705bd127
4adb852b626e735641a66e1d27346677e05f5f1b 3d37d22cb34d62e97112c0baaa73f7b276f3fb81
52199e35b9afcecce7cc2afc5b5539800277f6f4 d30ff7e60b8acede2cf214944448b896c37d9f40
577e21051a280e8edcf492d06dc5eb0c558cec33 b11ab75d352a8ddefc8ebcd160e096f91c5b506f
60bc12d4ff9592d56901aa80a95cfeeb90303db6 39e54c05be5f0a40a9fc8d4eaf770357e6ef84f5
6227af096a67b4928ceb17bc8704ea07117467d3 ac00fef161244464144f8bffb6b83e4f0f76419d
77d3b775ff7098bf3674d8cb99d394cede9dc737 0f343298449b7095403c937cb60d31fbca46990f
7ca6fb058e5c39af887e696f9a2ba2794aa29c8c 054c7d3b36df0aa9f0b35d5f76914b9b2dda50c9
80e50fec3adcc5f1f58f5e70489a85a5f156d7e4 0ddeb1431564f97a6597b3886b3d7110f4e6f84d
8528a7761960569614d8a1aed2ac0cf8b7272134 054f22545d663a490ed9684af098a688384516ca
8649c15d6376ac1eea5be5aa1cff7cc90f2cf0ec 28d8b5b431c2a706eb5dd003a3f59d9080b3be29
9793bd95304adc75f6b9a35360eec5b3be447957 24c08b98102da343efa23593824db9abcc8aeb16
97a0010fa6dee59df2450f374f4818750cf90810 c41d12c67d1f6415d6d29c779f6c7166bdc1ceb1
9aeed7d0c98a6cab4931fc18c23931c6b6ef65f7 f7a2d65f6ca76827cb64f32abd9bf8c44ed00a16
9b5759e7e8adca9685a8139ff17cdec9a9258e23 7a456ee75c32e26ba511ad3e81a16ea297fc8730
a40c3abde3140cc540f76628b6860b067ef73521 4499af737076a162aa836194988faf103d7b9f42
a817f879253cc7824ae6403b0fe90ac1b3c029f9 af29cfa24d56f18548c7ba9ef1665deaba744315
a84fdc3b4e91f80be6b2e67d0742707cadffcbc6 e3b610e0d3c66cacd5b1220f480449fdc11f8ffb
abb8bacde1cd8527aab1172908aff07d10aa0a1d 229b07ab6822186df4d0a0f8c86c3b7aa66366b3
ae0c7947c1bf35eccbf7ef8ba0c7408b1e0d1451 2349b0f9532a238debc23f93a053c53fd6797c4d
c225ca5e689bb8e8dbbf3c9b57f010381e60bcbf 329b77eb8704893d7136767c4ea2e6b477410867
c4688636f5049676d7f674c221ede4a765a59984 f9ef145701fc264772b31fb81c335115fbea5067
dfcce6b02ea14dd392acbdaa9321c7fc78b2a7a5 78669fd4b6cbe3eed501b27649692dd23c898ecf
ee322dd901eeca5315285e396578efb6139fd290 2152e177ca8c8e17bddeab4bf8df365095775778
fb4e5e6dfd6eac9a14e72c0e397a326da6c66028 19788c829bf68d79c97623f8a2db21de62039fba
