SID,NAME,crossing_time_utc,grade_a_records,grade_b_records,grade_a_event,grade_a_or_b_event,final_status,landfall_year,landfall_country_code,landfall_country_name,country_assignment_distance_degrees,country_assignment_method,NOAA_ISD_records,NOAA_ISD_status,CWA_CODIS_records,CWA_CODIS_status,JMA_AMEDAS_records,JMA_AMEDAS_status,HKO_TC_IMPACT_records,HKO_TC_IMPACT_status
2015012N09146,MEKKHALA,2015-01-17T08:49:51.774547582+00:00,0,10,False,True,grade_b_observation_found,2015,PHL,Philippines,0.0,nearest Natural Earth admin-0 polygon,10,observation_found,0,no_matched_observation,0,no_matched_observation,0,no_matched_observation
2015171N15112,KUJIRA,2015-06-22T10:25:05.852450188+00:00,0,67,False,True,grade_b_observation_found,2015,CHN,China,0.0,nearest Natural Earth admin-0 polygon,7,observation_found,0,no_matched_observation,0,no_matched_observation,60,observation_found
2015183N13130,LINFA,2015-07-04T18:52:37.940647800+00:00,0,8,False,True,grade_b_observation_found,2015,PHL,Philippines,0.0,nearest Natural Earth admin-0 polygon,8,observation_found,0,no_matched_observation,0,no_matched_observation,0,no_matched_observation
2015184N08172,NANGKA,2015-07-16T13:26:12.253692103+00:00,0,198,False,True,grade_b_observation_found,2015,JPN,Japan,0.0,nearest Natural Earth admin-0 polygon,39,observation_found,0,no_matched_observation,159,observation_found,0,no_matched_observation
2015211N13162,SOUDELOR,2015-08-07T21:46:29.519315939+00:00,1,440,True,True,grade_a_observation_found,2015,TWN,Taiwan,0.0,nearest Natural Earth admin-0 polygon,14,observation_found,421,observation_found,6,observation_found,0,no_matched_observation
2015226N12151,GONI,2015-08-24T19:27:51.694829417+00:00,0,163,False,True,grade_b_observation_found,2015,JPN,Japan,0.0,nearest Natural Earth admin-0 polygon,43,observation_found,0,no_matched_observation,120,observation_found,0,no_matched_observation
2015256N16113,VAMCO,2015-09-14T13:24:28.881122901+00:00,0,8,False,True,grade_b_observation_found,2015,VNM,Vietnam,0.0,nearest Natural Earth admin-0 polygon,8,observation_found,0,no_matched_observation,0,no_matched_observation,0,no_matched_observation
2015263N14148,DUJUAN,2015-09-28T10:11:14.533429482+00:00,1,439,True,True,grade_a_observation_found,2015,TWN,Taiwan,0.0,nearest Natural Earth admin-0 polygon,14,observation_found,420,observation_found,6,observation_found,0,no_matched_observation
2015273N12130,MUJIGAE,2015-10-01T16:51:47.620478159+00:00,0,81,False,True,grade_b_observation_found,2015,PHL,Philippines,0.0,nearest Natural Earth admin-0 polygon,19,observation_found,0,no_matched_observation,0,no_matched_observation,62,observation_found
2015285N14151,KOPPU,2015-10-17T21:41:33.127381935+00:00,0,19,False,True,grade_b_observation_found,2015,PHL,Philippines,0.0,nearest Natural Earth admin-0 polygon,19,observation_found,0,no_matched_observation,0,no_matched_observation,0,no_matched_observation
2015344N07145,MELOR,2015-12-15T03:35:15.360631085+00:00,0,19,False,True,grade_b_observation_found,2015,PHL,Philippines,0.0,nearest Natural Earth admin-0 polygon,19,observation_found,0,no_matched_observation,0,no_matched_observation,0,no_matched_observation
2016185N08145,NEPARTAK,2016-07-07T22:04:18.336536832+00:00,0,590,False,True,grade_b_observation_found,2016,TWN,Taiwan,7.222010890254617e-15,nearest Natural Earth admin-0 polygon,10,observation_found,580,observation_found,0,no_matched_observation,0,no_matched_observation
2016207N17116,MIRINAE,2016-07-26T13:42:07.433651212+00:00,0,69,False,True,grade_b_observation_found,2016,CHN,China,0.0,nearest Natural Earth admin-0 polygon,7,observation_found,0,no_matched_observation,0,no_matched_observation,62,observation_found
2016211N11128,NIDA,2016-08-02T00:28:16.119432963+00:00,0,81,False,True,grade_b_observation_found,2016,CHN,China,0.0,nearest Natural Earth admin-0 polygon,19,observation_found,0,no_matched_observation,0,no_matched_observation,62,observation_found
2016228N22117,DIANMU,2016-08-19T04:32:11.798714697+00:00,0,76,False,True,grade_b_observation_found,2016,VNM,Vietnam,0.0,nearest Natural Earth admin-0 polygon,14,observation_found,0,no_matched_observation,0,no_matched_observation,62,observation_found
2016230N15138,MINDULLE,2016-08-22T04:58:07.729280965+00:00,0,254,False,True,grade_b_observation_found,2016,JPN,Japan,0.0,nearest Natural Earth admin-0 polygon,55,observation_found,0,no_matched_observation,199,observation_found,0,no_matched_observation
2016253N13144,MERANTI,2016-09-14T20:04:11.010695957+00:00,0,137,False,True,grade_b_observation_found,2016,CHN,China,0.0,nearest Natural Earth admin-0 polygon,10,observation_found,67,observation_found,0,no_matched_observation,60,observation_found
