scenario,intensity_bin,distance_bin_start_km,records,storms,median_disagreement_ms,lower_95_ms,upper_95_ms
S088,17.2-24.4,0,209,98,1.8493344026806706,1.6443820548525176,1.9983024799521014
S088,17.2-24.4,100,209,102,1.916353546751786,1.776888430159466,2.0158136474227484
S088,17.2-24.4,200,210,108,1.8579009939468363,1.6146279606945955,1.916353546751786
S088,17.2-24.4,300,134,77,1.769765957589881,1.6016069265152826,1.9570862270600515
S088,17.2-24.4,400,93,54,1.6761354754167754,1.4338592011735756,1.9165744979062769
S088,17.2-24.4,500,79,46,1.5329684843224698,1.3264768192471352,1.9352740865377933
S088,17.2-24.4,600,59,42,1.630352282949461,1.384044873460788,1.9352740865377933
S088,17.2-24.4,700,58,31,1.407089726306231,1.2847193002345154,1.5835131483391491
S088,17.2-24.4,800,41,21,1.6016069265152826,1.3360984884227032,1.9103338743544738
S088,17.2-24.4,900,17,12,1.2694504328961587,1.1229133257670367,2.2816106990727976
S088,17.2-24.4,1000,8,6,1.4072009599508168,0.3319980684162165,2.3696005813138568
S088,24.5-32.6,0,189,84,2.0753176036809777,1.9149670868886333,2.457403701811938
S088,24.5-32.6,100,155,83,2.257870821223689,2.1018767161694587,2.4541275529248043
S088,24.5-32.6,200,125,72,2.068737127361391,1.834910186680859,2.2268540551888685
S088,24.5-32.6,300,101,57,1.834910186680859,1.6705049632364266,2.1905621948443916
S088,24.5-32.6,400,66,41,1.9716489077425354,1.611885061735766,2.189450413389478
S088,24.5-32.6,500,49,32,1.6418694119888744,1.4724546760217336,2.124918366850307
S088,24.5-32.6,600,36,25,1.9544400704300444,1.4675577143802687,2.579964277597466
S088,24.5-32.6,700,30,22,1.8616446056632072,1.2956158475012167,2.1766484283961676
S088,24.5-32.6,800,22,17,1.7290070070437524,1.4675577143802687,2.2314605223075943
S088,32.7-41.4,0,170,78,2.7568452625636892,2.3396580413638493,3.0211303531895095
S088,32.7-41.4,100,154,77,2.331993700031516,2.0705273696677406,2.638308659784959
S088,32.7-41.4,200,133,64,2.181021183542639,1.8290739251879538,2.475122818310977
S088,32.7-41.4,300,106,56,2.116208627386662,1.9558417326966986,2.356204977647607
S088,32.7-41.4,400,44,32,1.7370812457343021,1.4759876416893718,2.223428650830364
S088,32.7-41.4,500,55,32,1.7515061772058138,1.3074259163772235,2.451081274843036
S088,32.7-41.4,600,32,19,2.0099038350143705,1.6414309163758827,2.8176380993070547
S088,32.7-41.4,700,37,16,1.9119402352351704,1.3302224280357708,2.156920222864647
S088,32.7-41.4,800,30,14,1.8295866848134408,1.6414309163758827,2.4537479268042803
S088,32.7-41.4,900,8,6,2.04528338484643,1.238142847180684,3.124313909648756
S088,41.5-50.8,0,132,50,2.570757413803598,2.2857270916237398,3.0315264354430638
S088,41.5-50.8,100,93,46,2.5749206112944814,2.253130416986689,2.9139760908718584
S088,41.5-50.8,200,87,41,2.551627849408403,2.4204313157925257,2.7352426223032213
S088,41.5-50.8,300,73,38,2.199493971522866,2.0275951806737367,2.484991393104304
S088,41.5-50.8,400,55,29,2.3734840993311455,2.072673619325271,2.8057028417048406
S088,41.5-50.8,500,39,22,2.9527282715364898,2.541692942066979,3.3310140724728794
S088,41.5-50.8,600,33,19,2.9586093143507406,2.187079950917136,3.732113444956449
S088,41.5-50.8,700,12,7,2.5117948240932817,2.073735701482941,3.7037313359354416
S088,41.5-50.8,800,16,8,2.9583782317703777,1.6000065822704128,3.417974463839187
