SID,NAME,crossing_time,crossing_lon,crossing_lat,segment_hours,fraction,original_JTWC,JTWC,original_JMA,JMA,original_CMA,CMA,original_HKO,HKO,original_KMA,KMA,all_original,available_count,common_intensity_ms,disagreement_ms
2001047N09134,UNNAMED,2001-02-18 04:51:18.861577579+00:00,125.00987279003067,10.823682621807029,6.0,0.8092065545175728,True,11.960833333333335,False,,False,,False,,False,,False,1,11.960833333333335,
2001125N05129,CIMARON,2001-05-07 20:44:40.683138753+00:00,125.27979267605889,11.13723171026047,6.0,0.4574390342015704,True,11.960833333333335,False,,False,,False,,False,,False,1,11.960833333333335,
2001170N11138,CHEBI,2001-06-23 15:46:08.229824339+00:00,119.58844763644913,25.86786993987856,6.0,0.6281587881638586,True,41.55633948558069,True,22.490694234223707,True,30.48066646485476,True,31.82312489488963,False,,False,4,31.151895679872197,
2001180N15118,DURIAN,2001-07-01 20:28:12.523224004+00:00,110.3883091099998,21.005845445000094,6.0,0.41169089000018744,True,35.88250000000001,True,28.748745754776813,True,32.76965170316763,True,34.952150655166186,False,,False,4,33.86090117916691,
2001181N08141,UTOR,2001-07-06 00:08:42.122333755+00:00,114.76857597065361,22.807251699079938,6.0,0.02417233026645249,True,30.866869695790406,True,23.025646789851475,True,28.524887584924084,True,30.74231345651814,False,,False,4,29.63360052072111,
2001189N13130,TRAMI,2001-07-11 10:20:35.423693293+00:00,121.03806889598854,22.66193110401142,6.0,0.7238622080228367,True,16.74516666666667,True,,True,17.336967670124487,True,18.715843320474594,False,,False,3,17.336967670124487,
2001204N19127,YUTU,2001-07-25 19:09:32.401780071+00:00,111.00683325092257,21.43863334981548,6.0,0.19316674907739184,True,34.4962388252461,True,,True,30.081088771023662,True,29.872931057524085,False,,False,3,30.081088771023662,
2001206N14134,TORAJI,2001-07-29 16:10:07.657748+00:00,121.5136407211296,23.616879381888896,6.0,0.6947989698148263,True,47.11324160229204,True,33.22180128292892,True,34.9394908723004,True,34.22393376097631,False,,False,4,34.58171231663835,
2001213N18139,UNNAMED,2001-08-03 09:04:19.354918161+00:00,121.72718637293946,24.25840502049598,6.0,0.5120071721371175,False,,False,,True,14.322133333333335,False,,False,,False,1,14.322133333333335,
2001220N17118,USAGI,2001-08-10 17:36:04.357192912+00:00,106.00634391163607,18.380060516568236,6.0,0.933535055227452,True,19.137333333333334,True,18.005555555555556,True,16.922765949566678,True,18.176518163498276,False,,False,4,18.091036859526916,
2001225N18146,PABUK,2001-08-21 10:23:02.000679819+00:00,135.58451854369707,33.5114537257349,6.0,0.7306481796212836,True,26.95816777964929,True,28.294444444444448,True,27.200895542764144,True,30.866666666666667,False,,False,4,27.747669993604298,
2001239N19116,FITOW,2001-08-29 12:09:22.711930541+00:00,110.98436911304049,19.802605147826583,6.0,0.026051478265827654,True,11.960833333333335,True,,True,14.322133333333335,True,15.433333333333334,False,,False,3,14.322133333333335,
2001246N19156,DANAS,2001-09-11 00:25:00.362371145+00:00,139.5625150987977,35.28335346506363,6.0,0.0694612208863532,True,33.32417051610303,True,28.115774748497884,True,28.301220850449265,True,30.687996970720103,False,,False,4,29.494608910584684,
2001248N23125,NARI,2001-09-07 16:59:27.539422033+00:00,127.86726778848083,26.4,6.0,0.831830528797866,True,31.88117571989052,True,30.434097415741178,True,26.170480222933836,True,28.294444444444448,False,,False,4,29.364270930092815,
2001264N21126,LEKIMA,2001-09-26 11:20:47.578007643+00:00,120.93267252767157,22.45643662977117,6.0,0.891091574427918,True,32.40080219353008,True,26.282495567109713,True,31.822611631103463,True,31.426940011554155,False,,False,4,31.62477582132881,
2001309N10130,LINGLING,2001-11-06 17:21:45.909735684+00:00,125.19558709434648,10.5,6.0,0.8937921173927919,True,14.353000000000002,True,,True,14.322133333333335,True,15.160143057515903,False,,False,3,14.353000000000002,
2001338N10130,KAJIKI,2001-12-05 05:16:45.149064710+00:00,125.13214518651938,10.663960403676533,6.0,0.8798680122551161,True,14.353000000000002,True,18.005555555555556,True,16.79146666666667,True,15.124327164856215,False,,False,4,15.957896915761442,
2001361N01106,VAMEI,2001-12-27 07:10:01.365019426+00:00,104.28329541612703,1.5194507639788242,6.0,0.1945076397882417,True,29.236987897412913,True,22.14936625308938,False,,True,20.077460904322468,False,,False,3,22.14936625308938,
2002078N04138,UNNAMED,2002-03-21 07:14:56.930298600+00:00,126.41262790422502,7.945733852269458,6.0,0.2081912175277978,True,14.353000000000002,False,,True,14.322133333333335,False,,False,,False,2,14.337566666666667,
2002146N17113,UNNAMED,2002-05-29 23:38:26.834820954+00:00,120.06407874502656,23.14611811753976,6.0,0.9401312417108443,True,11.960833333333335,False,,False,,False,,False,,False,1,11.960833333333335,
2002155N20112,NOGURI,2002-06-11 04:26:15.649050184+00:00,135.09695613127303,33.95734274932006,6.0,0.739613381952978,False,,True,,False,,False,,False,,False,0,,
2002178N04155,CHATAAN,2002-07-11 11:59:34.558072061+00:00,144.29893991966924,42.9981154127453,6.0,0.9988221329658131,False,,True,23.150000000000002,True,21.732460170397133,False,,False,,False,2,22.44123008519857,
