time,mission,eye_in_acquisition,center_quality_flag,quality_eligible,axisymmetric_maximum_wind_ms,axisymmetric_maximum_radius_km,v_times_r_1e6_m2s,dual_peak_candidate,subthreshold_pair,inner_peak_radius_km,outer_peak_radius_km,inner_peak_prominence_ms,outer_peak_prominence_ms
2026-07-02 07:25:53+00:00,RADARSAT Constellation 3,True,1.0,True,21.040000915527344,30.0,0.6312000274658203,False,False,,,,
2026-07-02 19:23:55+00:00,RADARSAT Constellation 3,True,0.0,True,27.809999465942383,51.0,1.4183099727630615,False,False,,,,
2026-07-03 19:31:47+00:00,RADARSAT Constellation 3,True,0.0,True,50.5099983215332,22.0,1.1112199630737305,False,False,,,,
2026-07-04 19:39:44+00:00,RADARSAT Constellation 3,False,1.899999976158142,False,44.540000915527344,14.0,0.6235600128173828,False,False,,,,
2026-07-05 08:10:33+00:00,SENTINEL-1 D,True,0.5,True,54.59000015258789,24.0,1.3101600036621093,False,True,24.0,93.0,10.714184,0.251557
2026-07-05 08:22:37+00:00,RADARSAT Constellation 2,True,0.6000000238418579,True,53.15999984741211,22.0,1.1695199966430665,False,False,,,,
2026-07-06 08:31:29+00:00,RADARSAT Constellation 2,True,0.0,True,51.349998474121094,18.0,0.9242999725341797,False,False,,,,
2026-07-06 20:27:05+00:00,RADARSAT Constellation 2,True,0.699999988079071,True,47.810001373291016,44.0,2.1036400604248047,False,False,,,,
2026-07-07 20:55:32+00:00,SENTINEL-1 C,True,2.0,False,49.9900016784668,37.0,1.8496300621032715,False,False,,,,
2026-07-07 21:06:37+00:00,RADARSAT Constellation 1,False,3.200000047683716,False,28.639999389648438,86.0,2.4630399475097655,False,False,,,,
2026-07-08 09:19:41+00:00,RADARSAT Constellation 1,True,1.2999999523162842,True,47.689998626708984,37.0,1.7645299491882325,True,False,37.0,141.0,3.384479,0.782805
2026-07-08 09:25:10+00:00,SENTINEL-1 C,False,2.700000047683716,False,41.47999954223633,15.0,0.6221999931335449,False,False,,,,
2026-07-08 21:14:23+00:00,RADARSAT Constellation 1,True,1.0,True,41.11000061035156,107.0,4.398770065307617,True,False,45.0,106.0,2.126067,2.115232
2026-07-09 09:26:47+00:00,RADARSAT Constellation 1,True,0.0,True,36.7400016784668,104.0,3.820960174560547,True,False,43.0,104.0,1.676842,1.39232
2026-07-09 21:27:40+00:00,SENTINEL-1 D,True,0.0,True,30.59000015258789,124.0,3.7931600189208985,True,False,37.0,123.0,1.371371,0.968916
2026-07-11 09:52:31+00:00,SENTINEL-1 C,True,1.7999999523162842,True,29.93000030517578,102.0,3.0528600311279295,False,True,26.0,102.0,0.385001,0.362147
